# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669680775, 6, 257, 544, 201, 0, 0.93%, 16, 0, 16, 3661.93
1669680780, 6, 296, 544, 200, 0, 0.93%, 16, 0, 16, 3649.50
1669680785, 6, 314, 546, 201, 0, 0.93%, 16, 0, 16, 3658.19
1669680791, 6, 319, 548, 202, 0, 0.93%, 16, 0, 16, 3643.25
1669680796, 6, 337, 548, 200, 0, 0.93%, 16, 0, 16, 3627.05
1669680801, 6, 367, 548, 200, 0, 0.93%, 16, 0, 16, 3576.88
1669680806, 6, 380, 548, 198, 0, 0.93%, 16, 0, 16, 3585.87
1669680811, 6, 380, 550, 200, 0, 0.93%, 16, 0, 16, 3592.53
1669680816, 6, 387, 550, 198, 0, 0.93%, 16, 0, 16, 3593.29
1669680821, 6, 406, 550, 197, 0, 0.93%, 16, 0, 16, 3571.39
1669680826, 6, 408, 550, 196, 0, 0.93%, 16, 0, 16, 3684.95
1669680832, 6, 432, 550, 195, 0, 0.93%, 16, 0, 16, 3636.73
1669680837, 6, 433, 550, 194, 0, 0.93%, 16, 0, 16, 3599.88
1669680842, 6, 436, 551, 194, 0, 0.93%, 16, 0, 16, 3610.68
1669680847, 6, 440, 552, 194, 0, 0.93%, 16, 0, 16, 3590.88
1669680857, 6, 444, 552, 192, 0, 0.93%, 16, 0, 16, 3614.83
1669680862, 6, 447, 552, 192, 0, 0.93%, 16, 0, 16, 3614.08
1669680867, 6, 452, 552, 191, 0, 0.93%, 16, 0, 16, 3615.27
1669680877, 6, 458, 552, 190, 0, 0.93%, 16, 0, 16, 3622.53
1669680882, 6, 459, 552, 189, 0, 0.93%, 16, 0, 16, 3573.99
1669680918, 6, 462, 552, 188, 0, 0.93%, 16, 0, 16, 3521.66
1669680928, 6, 466, 552, 187, 0, 0.93%, 16, 0, 16, 3485.48
1669680933, 6, 466, 553, 188, 0, 0.93%, 16, 0, 16, 3498.26
1669680938, 6, 471, 553, 187, 0, 0.93%, 16, 0, 16, 3507.30
1669680943, 6, 471, 554, 188, 0, 0.93%, 16, 0, 16, 3552.16
1669680949, 6, 471, 555, 189, 0, 0.93%, 16, 0, 16, 3573.47
1669680954, 6, 473, 555, 188, 0, 0.93%, 16, 0, 16, 3611.71
1669680959, 6, 479, 555, 187, 0, 0.93%, 16, 0, 16, 3502.50
1669680969, 6, 479, 560, 192, 0, 0.93%, 16, 0, 16, 3502.47
1669680974, 6, 484, 560, 191, 0, 0.93%, 16, 0, 16, 3517.53
1669680989, 6, 490, 560, 190, 0, 0.93%, 16, 0, 16, 3609.47
1669680994, 6, 490, 563, 193, 0, 0.93%, 16, 0, 16, 3589.72
1669681000, 6, 500, 563, 192, 0, 0.93%, 16, 0, 16, 3550.71
1669681010, 6, 501, 563, 191, 0, 0.93%, 16, 0, 16, 3564.95
1669681020, 6, 509, 563, 190, 0, 0.93%, 16, 0, 16, 3605.14
1669681030, 6, 512, 563, 189, 0, 0.93%, 16, 0, 16, 3589.26
1669681040, 6, 513, 563, 188, 0, 0.93%, 16, 0, 16, 3542.06
1669681045, 6, 513, 564, 189, 0, 0.93%, 16, 0, 16, 3562.90
1669681051, 6, 513, 565, 190, 0, 0.93%, 16, 0, 16, 3587.56
1669681056, 6, 525, 565, 189, 0, 0.93%, 16, 0, 16, 3495.26
1669681066, 6, 525, 566, 190, 0, 0.93%, 16, 0, 16, 3522.89
1669681071, 6, 525, 568, 192, 0, 0.94%, 16, 0, 16, 3560.91
1669681076, 6, 526, 568, 191, 2, 0.94%, 16, 0, 16, 3456.63
1669681086, 6, 526, 569, 192, 2, 0.94%, 16, 0, 16, 3540.03
1669681091, 6, 546, 570, 192, 2, 0.94%, 16, 0, 16, 3563.07
1669681102, 6, 565, 570, 191, 2, 0.94%, 16, 0, 16, 3568.91
1669681107, 6, 565, 571, 192, 2, 0.94%, 16, 0, 17, 3578.30
1669681112, 6, 566, 571, 191, 2, 0.94%, 16, 0, 17, 3543.89
1669681117, 6, 566, 572, 192, 2, 0.94%, 16, 0, 17, 3395.22
1669681132, 6, 566, 573, 193, 2, 0.94%, 16, 0, 17, 3224.06
1669681137, 6, 566, 576, 196, 2, 0.94%, 16, 0, 17, 3451.66
1669681143, 6, 570, 578, 197, 2, 0.94%, 16, 0, 17, 3509.04
1669681153, 6, 571, 578, 196, 1, 0.94%, 16, 0, 17, 3423.12
1669681178, 6, 573, 578, 195, 0, 0.94%, 16, 0, 17, 3336.74
1669681204, 6, 573, 579, 196, 0, 0.94%, 16, 0, 18, 3463.01
1669681209, 6, 574, 579, 195, 0, 0.94%, 16, 0, 18, 3342.64
1669681229, 6, 574, 580, 196, 0, 0.94%, 16, 0, 18, 3292.35
1669681234, 6, 574, 581, 197, 0, 0.94%, 16, 0, 18, 3459.53
1669681240, 7, 69, 581, 195, 0, 0.94%, 16, 0, 18, 3564.19
1669681245, 7, 162, 581, 191, 0, 0.94%, 16, 0, 18, 3638.16
1669681250, 7, 228, 581, 189, 0, 0.94%, 16, 0, 18, 3645.37
1669681255, 7, 260, 582, 188, 0, 0.94%, 16, 0, 18, 3646.81
1669681260, 7, 300, 582, 187, 0, 0.94%, 16, 0, 18, 3645.96
1669681265, 7, 316, 583, 187, 0, 0.94%, 16, 0, 18, 3632.39
1669681270, 7, 333, 583, 186, 0, 0.94%, 16, 0, 18, 3604.18
1669681275, 7, 350, 584, 186, 0, 0.94%, 16, 0, 18, 3602.06
1669681280, 7, 376, 586, 186, 0, 0.94%, 16, 0, 18, 3574.62
1669681286, 7, 393, 586, 186, 0, 0.94%, 16, 0, 18, 3524.19
1669681291, 7, 397, 586, 185, 0, 0.94%, 16, 0, 18, 3572.70
1669681296, 7, 398, 586, 184, 0, 0.94%, 16, 0, 18, 3564.88
1669681301, 7, 409, 586, 182, 0, 0.94%, 16, 0, 18, 3547.31
1669681306, 7, 463, 586, 181, 0, 0.94%, 16, 0, 18, 3561.39
1669681316, 7, 471, 586, 180, 0, 0.94%, 16, 0, 18, 3532.76
1669681321, 7, 475, 586, 180, 0, 0.94%, 16, 0, 18, 3604.04
1669681326, 7, 480, 586, 179, 0, 0.94%, 16, 0, 18, 3455.59
1669681331, 7, 480, 588, 181, 0, 0.94%, 16, 0, 18, 3477.46
1669681336, 7, 480, 589, 182, 0, 0.94%, 16, 0, 18, 3537.25
1669681342, 7, 481, 590, 182, 0, 0.94%, 16, 0, 18, 3427.26
1669681357, 7, 488, 590, 181, 0, 0.94%, 16, 0, 18, 3413.33
1669681367, 7, 488, 592, 183, 0, 0.94%, 16, 0, 18, 3473.41
1669681372, 7, 488, 593, 184, 0, 0.94%, 16, 0, 18, 3529.44
1669681377, 7, 496, 593, 183, 0, 0.94%, 16, 0, 18, 3670.98
1669681383, 7, 496, 594, 184, 0, 0.94%, 16, 0, 18, 3655.44
1669681388, 7, 498, 594, 183, 0, 0.94%, 16, 0, 18, 3526.73
1669681398, 7, 498, 596, 185, 0, 0.94%, 16, 0, 18, 3545.09
1669681403, 7, 505, 597, 185, 0, 0.94%, 16, 0, 18, 3543.65
1669681408, 7, 506, 597, 184, 0, 0.94%, 16, 0, 18, 3630.23
1669681413, 7, 506, 598, 185, 0, 0.94%, 16, 0, 18, 3633.93
